Word,Num_Occurances,Freq,Sentiment
young,3,0.00244,0.0
children,3,0.00244,0.0
away,2,0.00162,0.0
often,2,0.00162,0.0
back,2,0.00162,0.0
life,2,0.00162,0.0
said,2,0.00162,0.0
words,2,0.00162,0.0
father,2,0.00162,0.0
one,2,0.00162,0.0
need,2,0.00162,0.0
personal,2,0.00162,0.0
testimony,2,0.00162,0.0
particularly,2,0.00162,0.0
take,1,0.00081,0.0
root,1,0.00081,0.0
weaknesses,1,0.00081,-0.3612
sensitivities,1,0.00081,0.0
things,1,0.00081,0.0
matter,1,0.00081,0.0258
question,1,0.00081,0.0
ye,1,0.00081,0.0
also,1,0.00081,0.0
go,1,0.00081,0.0
makes,1,0.00081,0.0
think,1,0.00081,0.0
events,1,0.00081,0.0
occur,1,0.00081,0.0
rob,1,0.00081,-0.5574
peace,1,0.00081,0.5423
heighten,1,0.00081,0.0
sense,1,0.00081,0.0
understood,1,0.00081,0.0
could,1,0.00081,0.0
leave,1,0.00081,-0.0516
angry,1,0.00081,-0.5106
bewildered,1,0.00081,0.0
defenseless,1,0.00081,-0.34
promoters,1,0.00081,0.0
new,1,0.00081,0.0
luxury,1,0.00081,0.0
liner,1,0.00081,0.0
11,1,0.00081,0.0
stories,1,0.00081,0.0
high,1,0.00081,0.0
almost,1,0.00081,0.0
3,1,0.00081,0.0
football,1,0.00081,0.0
fields,1,0.00081,0.0
long5,1,0.00081,0.0
made,1,0.00081,0.0
excessive,1,0.00081,0.0
unjustified,1,0.00081,0.0
claims,1,0.00081,0.0
lack,1,0.00081,-0.3182
titanic,1,0.00081,0.0
winter,1,0.00081,0.0
waters,1,0.00081,0.0
full,1,0.00081,0.0
icebergs,1,0.00081,0.0
clamor,1,0.00081,0.0
reverberates,1,0.00081,0.0
across,1,0.00081,0.0
earth,1,0.00081,0.0
worldly,1,0.00081,0.0
wickedness,1,0.00081,-0.4767
creates,1,0.00081,0.2732
feelings,1,0.00081,0.0
mortal,1,0.00081,0.0
love,1,0.00081,0.6369
strong,1,0.00081,0.5106
voluntarily,1,0.00081,0.0
subject,1,0.00081,0.0
responsibility,1,0.00081,0.0
anxiety,1,0.00081,-0.1779
heartache,1,0.00081,0.0
keep,1,0.00081,0.0
coming,1,0.00081,0.0
surely,1,0.00081,0.4404
must,1,0.00081,0.0
spiritual,1,0.00081,0.0
application,1,0.00081,0.0
lord,1,0.00081,0.0
byron’s,1,0.00081,0.0
couplet,1,0.00081,0.0
yet,1,0.00081,0.0
lineaments,1,0.00081,0.0
trace,1,0.00081,0.0
features,1,0.00081,0.0
father’s,1,0.00081,0.0
face,1,0.00081,0.0
moment,1,0.00081,0.0
nephi’s,1,0.00081,0.0
prophetic,1,0.00081,0.0
future,1,0.00081,0.0
determined,1,0.00081,0.34
believe,1,0.00081,0.0
spoken,1,0.00081,0.0
turning,1,0.00081,0.0
point,1,0.00081,0.0
prophet,1,0.00081,0.0
enos’s,1,0.00081,0.0
heard,1,0.00081,0.0
speak17,1,0.00081,0.0
prompted,1,0.00081,0.0
great,1,0.00081,0.6249
revelations,1,0.00081,0.0
recorded,1,0.00081,0.0
book,1,0.00081,0.0
mormon,1,0.00081,0.0
‘i,1,0.00081,0.0
look,1,0.00081,0.0
realize,1,0.00081,0.0
tired,1,0.00081,-0.4404
foolish,1,0.00081,-0.2732
nurturing,1,0.00081,0.4588
comforting,1,0.00081,0.4019
frightened,1,0.00081,-0.4404
protecting,1,0.00081,0.0
teaching,1,0.00081,0.0
giving,1,0.00081,0.34
encouragement,1,0.00081,0.4215
not—and,1,0.00081,0.0
not—be,1,0.00081,0.0
limited,1,0.00081,-0.2263
satan’s,1,0.00081,0.0
lies,1,0.00081,-0.4215
succeed,1,0.00081,0.4939
deceiving,1,0.00081,-0.34
become,1,0.00081,0.0
power,1,0.00081,0.0
solely,1,0.00081,0.0
dependent,1,0.00081,0.0
particular,1,0.00081,0.0
priesthood,1,0.00081,0.0
leader,1,0.00081,0.0
teacher,1,0.00081,0.0
truth,1,0.00081,0.3182
instead,1,0.00081,0.0
getting,1,0.00081,0.0
line,1,0.00081,0.0
forever,1,0.00081,0.0
disillusionment,1,0.00081,-0.4019
action,1,0.00081,0.0
person,1,0.00081,0.0
making,1,0.00081,0.0
withering,1,0.00081,0.0
encounter,1,0.00081,0.0
tribulation,1,0.00081,0.0
like,1,0.00081,0.3612
isolation,1,0.00081,-0.4019
intimidation,1,0.00081,-0.4215
ridicule,1,0.00081,-0.4588
highly,1,0.00081,0.0
people,1,0.00081,0.0
struggling,1,0.00081,-0.4215
exceptional,1,0.00081,0.0
condition,1,0.00081,0.0
including,1,0.00081,0.0
same-gender,1,0.00081,0.0
attraction,1,0.00081,0.4588
loving,1,0.00081,0.5994
understanding—not,1,0.00081,0.0
bullying,1,0.00081,-0.5994
ostracism,1,0.00081,0.0
marketplace,1,0.00081,0.0
products,1,0.00081,0.0
services,1,0.00081,0.0
many,1,0.00081,0.0
potential,1,0.00081,0.0
buyers,1,0.00081,0.0
poorly,1,0.00081,0.0
informed,1,0.00081,0.0
excessively,1,0.00081,0.0
trusting,1,0.00081,0.4019
described,1,0.00081,0.0
lost,1,0.00081,-0.3182
sheep,1,0.00081,0.0
dangers,1,0.00081,-0.4939
predators,1,0.00081,0.0
know,1,0.00081,0.0
temptations,1,0.00081,0.0
predict,1,0.00081,0.0
adversary,1,0.00081,-0.2023
try,1,0.00081,0.0
derail,1,0.00081,-0.296
dishearten,1,0.00081,-0.4588
